protein_id,seed,length,pdb,pt
s1117_n659,1117,659,samples/s1117_n659.pdb,samples/s1117_n659.pt
s1118_n721,1118,721,samples/s1118_n721.pdb,samples/s1118_n721.pt
s1119_n759,1119,759,samples/s1119_n759.pdb,samples/s1119_n759.pt
s1120_n312,1120,312,samples/s1120_n312.pdb,samples/s1120_n312.pt
s1121_n361,1121,361,samples/s1121_n361.pdb,samples/s1121_n361.pt
s1122_n429,1122,429,samples/s1122_n429.pdb,samples/s1122_n429.pt
s1123_n482,1123,482,samples/s1123_n482.pdb,samples/s1123_n482.pt
s1124_n523,1124,523,samples/s1124_n523.pdb,samples/s1124_n523.pt
s1125_n575,1125,575,samples/s1125_n575.pdb,samples/s1125_n575.pt
s1126_n603,1126,603,samples/s1126_n603.pdb,samples/s1126_n603.pt
s1127_n691,1127,691,samples/s1127_n691.pdb,samples/s1127_n691.pt
s1128_n706,1128,706,samples/s1128_n706.pdb,samples/s1128_n706.pt
s1129_n759,1129,759,samples/s1129_n759.pdb,samples/s1129_n759.pt
s1130_n323,1130,323,samples/s1130_n323.pdb,samples/s1130_n323.pt
s1131_n399,1131,399,samples/s1131_n399.pdb,samples/s1131_n399.pt
s1132_n417,1132,417,samples/s1132_n417.pdb,samples/s1132_n417.pt
s1133_n469,1133,469,samples/s1133_n469.pdb,samples/s1133_n469.pt
s1134_n513,1134,513,samples/s1134_n513.pdb,samples/s1134_n513.pt
s1135_n572,1135,572,samples/s1135_n572.pdb,samples/s1135_n572.pt
s1136_n642,1136,642,samples/s1136_n642.pdb,samples/s1136_n642.pt
s1137_n663,1137,663,samples/s1137_n663.pdb,samples/s1137_n663.pt
s1138_n735,1138,735,samples/s1138_n735.pdb,samples/s1138_n735.pt
s1139_n766,1139,766,samples/s1139_n766.pdb,samples/s1139_n766.pt
s1140_n316,1140,316,samples/s1140_n316.pdb,samples/s1140_n316.pt
s1141_n381,1141,381,samples/s1141_n381.pdb,samples/s1141_n381.pt
s1142_n401,1142,401,samples/s1142_n401.pdb,samples/s1142_n401.pt
s1143_n471,1143,471,samples/s1143_n471.pdb,samples/s1143_n471.pt
s1144_n521,1144,521,samples/s1144_n521.pdb,samples/s1144_n521.pt
s1145_n553,1145,553,samples/s1145_n553.pdb,samples/s1145_n553.pt
s1146_n635,1146,635,samples/s1146_n635.pdb,samples/s1146_n635.pt
s1147_n654,1147,654,samples/s1147_n654.pdb,samples/s1147_n654.pt
s1148_n737,1148,737,samples/s1148_n737.pdb,samples/s1148_n737.pt
s1149_n753,1149,753,samples/s1149_n753.pdb,samples/s1149_n753.pt
s1150_n328,1150,328,samples/s1150_n328.pdb,samples/s1150_n328.pt
s1151_n385,1151,385,samples/s1151_n385.pdb,samples/s1151_n385.pt
s1152_n434,1152,434,samples/s1152_n434.pdb,samples/s1152_n434.pt
s1153_n495,1153,495,samples/s1153_n495.pdb,samples/s1153_n495.pt
s1154_n521,1154,521,samples/s1154_n521.pdb,samples/s1154_n521.pt
s1155_n570,1155,570,samples/s1155_n570.pdb,samples/s1155_n570.pt
s1156_n628,1156,628,samples/s1156_n628.pdb,samples/s1156_n628.pt
s1157_n675,1157,675,samples/s1157_n675.pdb,samples/s1157_n675.pt
s1158_n712,1158,712,samples/s1158_n712.pdb,samples/s1158_n712.pt
s1159_n762,1159,762,samples/s1159_n762.pdb,samples/s1159_n762.pt
s1160_n317,1160,317,samples/s1160_n317.pdb,samples/s1160_n317.pt
s1161_n384,1161,384,samples/s1161_n384.pdb,samples/s1161_n384.pt
s1162_n449,1162,449,samples/s1162_n449.pdb,samples/s1162_n449.pt
s1163_n494,1163,494,samples/s1163_n494.pdb,samples/s1163_n494.pt
s1164_n509,1164,509,samples/s1164_n509.pdb,samples/s1164_n509.pt
s1165_n596,1165,596,samples/s1165_n596.pdb,samples/s1165_n596.pt
s1166_n624,1166,624,samples/s1166_n624.pdb,samples/s1166_n624.pt
s1167_n659,1167,659,samples/s1167_n659.pdb,samples/s1167_n659.pt
s1168_n722,1168,722,samples/s1168_n722.pdb,samples/s1168_n722.pt
s1169_n797,1169,797,samples/s1169_n797.pdb,samples/s1169_n797.pt
s1170_n316,1170,316,samples/s1170_n316.pdb,samples/s1170_n316.pt
s1171_n383,1171,383,samples/s1171_n383.pdb,samples/s1171_n383.pt
s1172_n443,1172,443,samples/s1172_n443.pdb,samples/s1172_n443.pt
s1173_n487,1173,487,samples/s1173_n487.pdb,samples/s1173_n487.pt
s1174_n509,1174,509,samples/s1174_n509.pdb,samples/s1174_n509.pt
s1175_n571,1175,571,samples/s1175_n571.pdb,samples/s1175_n571.pt
s1176_n622,1176,622,samples/s1176_n622.pdb,samples/s1176_n622.pt
s1177_n680,1177,680,samples/s1177_n680.pdb,samples/s1177_n680.pt
s1178_n731,1178,731,samples/s1178_n731.pdb,samples/s1178_n731.pt
s1179_n776,1179,776,samples/s1179_n776.pdb,samples/s1179_n776.pt
s1180_n308,1180,308,samples/s1180_n308.pdb,samples/s1180_n308.pt
s1181_n382,1181,382,samples/s1181_n382.pdb,samples/s1181_n382.pt
s1182_n420,1182,420,samples/s1182_n420.pdb,samples/s1182_n420.pt
s1183_n489,1183,489,samples/s1183_n489.pdb,samples/s1183_n489.pt
s1184_n533,1184,533,samples/s1184_n533.pdb,samples/s1184_n533.pt
s1185_n556,1185,556,samples/s1185_n556.pdb,samples/s1185_n556.pt
s1186_n616,1186,616,samples/s1186_n616.pdb,samples/s1186_n616.pt
s1187_n693,1187,693,samples/s1187_n693.pdb,samples/s1187_n693.pt
s1188_n746,1188,746,samples/s1188_n746.pdb,samples/s1188_n746.pt
s1189_n785,1189,785,samples/s1189_n785.pdb,samples/s1189_n785.pt
s1190_n304,1190,304,samples/s1190_n304.pdb,samples/s1190_n304.pt
s1191_n367,1191,367,samples/s1191_n367.pdb,samples/s1191_n367.pt
s1192_n438,1192,438,samples/s1192_n438.pdb,samples/s1192_n438.pt
s1193_n470,1193,470,samples/s1193_n470.pdb,samples/s1193_n470.pt
s1194_n501,1194,501,samples/s1194_n501.pdb,samples/s1194_n501.pt
s1195_n563,1195,563,samples/s1195_n563.pdb,samples/s1195_n563.pt
s1196_n607,1196,607,samples/s1196_n607.pdb,samples/s1196_n607.pt
s1197_n673,1197,673,samples/s1197_n673.pdb,samples/s1197_n673.pt
s1198_n745,1198,745,samples/s1198_n745.pdb,samples/s1198_n745.pt
s1199_n772,1199,772,samples/s1199_n772.pdb,samples/s1199_n772.pt
s1200_n334,1200,334,samples/s1200_n334.pdb,samples/s1200_n334.pt
s1201_n355,1201,355,samples/s1201_n355.pdb,samples/s1201_n355.pt
s1202_n402,1202,402,samples/s1202_n402.pdb,samples/s1202_n402.pt
s1203_n478,1203,478,samples/s1203_n478.pdb,samples/s1203_n478.pt
s1204_n500,1204,500,samples/s1204_n500.pdb,samples/s1204_n500.pt
s1205_n560,1205,560,samples/s1205_n560.pdb,samples/s1205_n560.pt
s1206_n627,1206,627,samples/s1206_n627.pdb,samples/s1206_n627.pt
s1207_n669,1207,669,samples/s1207_n669.pdb,samples/s1207_n669.pt
s1208_n706,1208,706,samples/s1208_n706.pdb,samples/s1208_n706.pt
s1209_n790,1209,790,samples/s1209_n790.pdb,samples/s1209_n790.pt
s1210_n336,1210,336,samples/s1210_n336.pdb,samples/s1210_n336.pt
s1211_n395,1211,395,samples/s1211_n395.pdb,samples/s1211_n395.pt
s1212_n423,1212,423,samples/s1212_n423.pdb,samples/s1212_n423.pt
s1213_n466,1213,466,samples/s1213_n466.pdb,samples/s1213_n466.pt
s1214_n530,1214,530,samples/s1214_n530.pdb,samples/s1214_n530.pt
s1215_n557,1215,557,samples/s1215_n557.pdb,samples/s1215_n557.pt
s1216_n602,1216,602,samples/s1216_n602.pdb,samples/s1216_n602.pt
s1217_n682,1217,682,samples/s1217_n682.pdb,samples/s1217_n682.pt
s1218_n721,1218,721,samples/s1218_n721.pdb,samples/s1218_n721.pt
s1219_n762,1219,762,samples/s1219_n762.pdb,samples/s1219_n762.pt
s1220_n336,1220,336,samples/s1220_n336.pdb,samples/s1220_n336.pt
s1221_n394,1221,394,samples/s1221_n394.pdb,samples/s1221_n394.pt
s1222_n414,1222,414,samples/s1222_n414.pdb,samples/s1222_n414.pt
s1223_n458,1223,458,samples/s1223_n458.pdb,samples/s1223_n458.pt
s1224_n503,1224,503,samples/s1224_n503.pdb,samples/s1224_n503.pt
s1225_n570,1225,570,samples/s1225_n570.pdb,samples/s1225_n570.pt
s1226_n612,1226,612,samples/s1226_n612.pdb,samples/s1226_n612.pt
s1227_n673,1227,673,samples/s1227_n673.pdb,samples/s1227_n673.pt
s1228_n729,1228,729,samples/s1228_n729.pdb,samples/s1228_n729.pt
s1229_n756,1229,756,samples/s1229_n756.pdb,samples/s1229_n756.pt
s1230_n326,1230,326,samples/s1230_n326.pdb,samples/s1230_n326.pt
s1231_n377,1231,377,samples/s1231_n377.pdb,samples/s1231_n377.pt
s1232_n439,1232,439,samples/s1232_n439.pdb,samples/s1232_n439.pt
s1233_n460,1233,460,samples/s1233_n460.pdb,samples/s1233_n460.pt
s1234_n511,1234,511,samples/s1234_n511.pdb,samples/s1234_n511.pt
s1235_n588,1235,588,samples/s1235_n588.pdb,samples/s1235_n588.pt
s1236_n619,1236,619,samples/s1236_n619.pdb,samples/s1236_n619.pt
s1237_n677,1237,677,samples/s1237_n677.pdb,samples/s1237_n677.pt
s1238_n715,1238,715,samples/s1238_n715.pdb,samples/s1238_n715.pt
s1239_n781,1239,781,samples/s1239_n781.pdb,samples/s1239_n781.pt
s1240_n341,1240,341,samples/s1240_n341.pdb,samples/s1240_n341.pt
s1241_n353,1241,353,samples/s1241_n353.pdb,samples/s1241_n353.pt
s1242_n441,1242,441,samples/s1242_n441.pdb,samples/s1242_n441.pt
s1243_n497,1243,497,samples/s1243_n497.pdb,samples/s1243_n497.pt
s1244_n543,1244,543,samples/s1244_n543.pdb,samples/s1244_n543.pt
s1245_n559,1245,559,samples/s1245_n559.pdb,samples/s1245_n559.pt
s1246_n614,1246,614,samples/s1246_n614.pdb,samples/s1246_n614.pt
s1247_n664,1247,664,samples/s1247_n664.pdb,samples/s1247_n664.pt
s1248_n732,1248,732,samples/s1248_n732.pdb,samples/s1248_n732.pt
s1249_n768,1249,768,samples/s1249_n768.pdb,samples/s1249_n768.pt
s1250_n300,1250,300,samples/s1250_n300.pdb,samples/s1250_n300.pt
s1251_n372,1251,372,samples/s1251_n372.pdb,samples/s1251_n372.pt
s1252_n419,1252,419,samples/s1252_n419.pdb,samples/s1252_n419.pt
s1253_n471,1253,471,samples/s1253_n471.pdb,samples/s1253_n471.pt
s1254_n500,1254,500,samples/s1254_n500.pdb,samples/s1254_n500.pt
s1255_n552,1255,552,samples/s1255_n552.pdb,samples/s1255_n552.pt
s1256_n618,1256,618,samples/s1256_n618.pdb,samples/s1256_n618.pt
s1257_n671,1257,671,samples/s1257_n671.pdb,samples/s1257_n671.pt
s1258_n710,1258,710,samples/s1258_n710.pdb,samples/s1258_n710.pt
s1259_n758,1259,758,samples/s1259_n758.pdb,samples/s1259_n758.pt
s1260_n329,1260,329,samples/s1260_n329.pdb,samples/s1260_n329.pt
s1261_n368,1261,368,samples/s1261_n368.pdb,samples/s1261_n368.pt
s1262_n445,1262,445,samples/s1262_n445.pdb,samples/s1262_n445.pt
s1263_n483,1263,483,samples/s1263_n483.pdb,samples/s1263_n483.pt
s1264_n549,1264,549,samples/s1264_n549.pdb,samples/s1264_n549.pt
s1265_n584,1265,584,samples/s1265_n584.pdb,samples/s1265_n584.pt
s1266_n620,1266,620,samples/s1266_n620.pdb,samples/s1266_n620.pt
s1267_n653,1267,653,samples/s1267_n653.pdb,samples/s1267_n653.pt
s1268_n743,1268,743,samples/s1268_n743.pdb,samples/s1268_n743.pt
s1269_n754,1269,754,samples/s1269_n754.pdb,samples/s1269_n754.pt
s1270_n304,1270,304,samples/s1270_n304.pdb,samples/s1270_n304.pt
s1271_n378,1271,378,samples/s1271_n378.pdb,samples/s1271_n378.pt
s1272_n420,1272,420,samples/s1272_n420.pdb,samples/s1272_n420.pt
s1273_n456,1273,456,samples/s1273_n456.pdb,samples/s1273_n456.pt
s1274_n540,1274,540,samples/s1274_n540.pdb,samples/s1274_n540.pt
s1275_n588,1275,588,samples/s1275_n588.pdb,samples/s1275_n588.pt
s1276_n619,1276,619,samples/s1276_n619.pdb,samples/s1276_n619.pt
s1277_n675,1277,675,samples/s1277_n675.pdb,samples/s1277_n675.pt
s1278_n715,1278,715,samples/s1278_n715.pdb,samples/s1278_n715.pt
s1279_n779,1279,779,samples/s1279_n779.pdb,samples/s1279_n779.pt
s1280_n334,1280,334,samples/s1280_n334.pdb,samples/s1280_n334.pt
s1281_n397,1281,397,samples/s1281_n397.pdb,samples/s1281_n397.pt
s1282_n441,1282,441,samples/s1282_n441.pdb,samples/s1282_n441.pt
s1283_n486,1283,486,samples/s1283_n486.pdb,samples/s1283_n486.pt
s1284_n547,1284,547,samples/s1284_n547.pdb,samples/s1284_n547.pt
s1285_n589,1285,589,samples/s1285_n589.pdb,samples/s1285_n589.pt
s1286_n633,1286,633,samples/s1286_n633.pdb,samples/s1286_n633.pt
s1287_n682,1287,682,samples/s1287_n682.pdb,samples/s1287_n682.pt
s1288_n738,1288,738,samples/s1288_n738.pdb,samples/s1288_n738.pt
s1289_n765,1289,765,samples/s1289_n765.pdb,samples/s1289_n765.pt
s1290_n333,1290,333,samples/s1290_n333.pdb,samples/s1290_n333.pt
s1291_n391,1291,391,samples/s1291_n391.pdb,samples/s1291_n391.pt
s1292_n401,1292,401,samples/s1292_n401.pdb,samples/s1292_n401.pt
s1293_n499,1293,499,samples/s1293_n499.pdb,samples/s1293_n499.pt
s1294_n544,1294,544,samples/s1294_n544.pdb,samples/s1294_n544.pt
s1295_n567,1295,567,samples/s1295_n567.pdb,samples/s1295_n567.pt
s1296_n644,1296,644,samples/s1296_n644.pdb,samples/s1296_n644.pt
s1297_n694,1297,694,samples/s1297_n694.pdb,samples/s1297_n694.pt
s1298_n736,1298,736,samples/s1298_n736.pdb,samples/s1298_n736.pt
s1299_n776,1299,776,samples/s1299_n776.pdb,samples/s1299_n776.pt
s1300_n315,1300,315,samples/s1300_n315.pdb,samples/s1300_n315.pt
s1301_n399,1301,399,samples/s1301_n399.pdb,samples/s1301_n399.pt
s1302_n422,1302,422,samples/s1302_n422.pdb,samples/s1302_n422.pt
s1303_n480,1303,480,samples/s1303_n480.pdb,samples/s1303_n480.pt
s1304_n505,1304,505,samples/s1304_n505.pdb,samples/s1304_n505.pt
s1305_n594,1305,594,samples/s1305_n594.pdb,samples/s1305_n594.pt
s1306_n635,1306,635,samples/s1306_n635.pdb,samples/s1306_n635.pt
s1307_n669,1307,669,samples/s1307_n669.pdb,samples/s1307_n669.pt
s1308_n712,1308,712,samples/s1308_n712.pdb,samples/s1308_n712.pt
s1309_n755,1309,755,samples/s1309_n755.pdb,samples/s1309_n755.pt
s1310_n340,1310,340,samples/s1310_n340.pdb,samples/s1310_n340.pt
s1311_n386,1311,386,samples/s1311_n386.pdb,samples/s1311_n386.pt
s1312_n430,1312,430,samples/s1312_n430.pdb,samples/s1312_n430.pt
s1313_n473,1313,473,samples/s1313_n473.pdb,samples/s1313_n473.pt
s1314_n510,1314,510,samples/s1314_n510.pdb,samples/s1314_n510.pt
s1315_n584,1315,584,samples/s1315_n584.pdb,samples/s1315_n584.pt
s1316_n649,1316,649,samples/s1316_n649.pdb,samples/s1316_n649.pt
s1317_n688,1317,688,samples/s1317_n688.pdb,samples/s1317_n688.pt
s1318_n741,1318,741,samples/s1318_n741.pdb,samples/s1318_n741.pt
s1319_n780,1319,780,samples/s1319_n780.pdb,samples/s1319_n780.pt
s1320_n315,1320,315,samples/s1320_n315.pdb,samples/s1320_n315.pt
s1321_n380,1321,380,samples/s1321_n380.pdb,samples/s1321_n380.pt
s1322_n406,1322,406,samples/s1322_n406.pdb,samples/s1322_n406.pt
s1323_n450,1323,450,samples/s1323_n450.pdb,samples/s1323_n450.pt
s1324_n519,1324,519,samples/s1324_n519.pdb,samples/s1324_n519.pt
s1325_n569,1325,569,samples/s1325_n569.pdb,samples/s1325_n569.pt
s1326_n635,1326,635,samples/s1326_n635.pdb,samples/s1326_n635.pt
s1327_n650,1327,650,samples/s1327_n650.pdb,samples/s1327_n650.pt
s1328_n722,1328,722,samples/s1328_n722.pdb,samples/s1328_n722.pt
s1329_n766,1329,766,samples/s1329_n766.pdb,samples/s1329_n766.pt
s1330_n316,1330,316,samples/s1330_n316.pdb,samples/s1330_n316.pt
s1331_n394,1331,394,samples/s1331_n394.pdb,samples/s1331_n394.pt
s1332_n403,1332,403,samples/s1332_n403.pdb,samples/s1332_n403.pt
s1333_n470,1333,470,samples/s1333_n470.pdb,samples/s1333_n470.pt
s1334_n526,1334,526,samples/s1334_n526.pdb,samples/s1334_n526.pt
s1335_n584,1335,584,samples/s1335_n584.pdb,samples/s1335_n584.pt
s1336_n612,1336,612,samples/s1336_n612.pdb,samples/s1336_n612.pt
s1337_n650,1337,650,samples/s1337_n650.pdb,samples/s1337_n650.pt
s1338_n701,1338,701,samples/s1338_n701.pdb,samples/s1338_n701.pt
s1339_n799,1339,799,samples/s1339_n799.pdb,samples/s1339_n799.pt
s1340_n311,1340,311,samples/s1340_n311.pdb,samples/s1340_n311.pt
s1341_n380,1341,380,samples/s1341_n380.pdb,samples/s1341_n380.pt
s1342_n401,1342,401,samples/s1342_n401.pdb,samples/s1342_n401.pt
s1343_n493,1343,493,samples/s1343_n493.pdb,samples/s1343_n493.pt
s1344_n518,1344,518,samples/s1344_n518.pdb,samples/s1344_n518.pt
s1345_n555,1345,555,samples/s1345_n555.pdb,samples/s1345_n555.pt
s1346_n623,1346,623,samples/s1346_n623.pdb,samples/s1346_n623.pt
s1347_n667,1347,667,samples/s1347_n667.pdb,samples/s1347_n667.pt
s1348_n727,1348,727,samples/s1348_n727.pdb,samples/s1348_n727.pt
s1349_n782,1349,782,samples/s1349_n782.pdb,samples/s1349_n782.pt
s1350_n340,1350,340,samples/s1350_n340.pdb,samples/s1350_n340.pt
s1351_n368,1351,368,samples/s1351_n368.pdb,samples/s1351_n368.pt
s1352_n425,1352,425,samples/s1352_n425.pdb,samples/s1352_n425.pt
s1353_n454,1353,454,samples/s1353_n454.pdb,samples/s1353_n454.pt
s1354_n512,1354,512,samples/s1354_n512.pdb,samples/s1354_n512.pt
s1355_n590,1355,590,samples/s1355_n590.pdb,samples/s1355_n590.pt
s1356_n638,1356,638,samples/s1356_n638.pdb,samples/s1356_n638.pt
s1357_n669,1357,669,samples/s1357_n669.pdb,samples/s1357_n669.pt
